"","gene_id","gene_name","log2FoldChange","DE","hl"
"1","ENSMUSG00000019370","Calm3",1.484582032,"Projections",16
"2","ENSMUSG00000024661","Fth1",3.948039009,"Projections",16
"3","ENSMUSG00000027523","Gnas",1.216205462,"Projections",16
"4","ENSMUSG00000029632","Ndufa4",2.803417034,"Projections",16
"5","ENSMUSG00000031818","Cox4i1",2.974877179,"Projections",16
"6","ENSMUSG00000032518","Rpsa",3.834447834,"Projections",16
"7","ENSMUSG00000037071","Scd1",3.116926302,"Projections",16
"8","ENSMUSG00000041697","Cox6a1",3.946830056,"Projections",16
"9","ENSMUSG00000049775","Tmsb4x",1.958784784,"Projections",16
"10","ENSMUSG00000055553","Kxd1",0.65752954,"Projections",16
"11","ENSMUSG00000057322","Rpl38",3.352452986,"Projections",16
"12","ENSMUSG00000067786","Nnat",1.177568905,"Projections",16
"13","ENSMUSG00000084786","Ubl5",2.465690929,"Projections",16
"14","ENSMUSG00000090223","Pcp4",1.729398681,"Projections",16
"15","ENSMUSG00000093674","Rpl41",3.462848863,"Projections",16
"16","ENSMUSG00000035674","Ndufa3",2.873700093,"Projections",15.4170116320753
"17","ENSMUSG00000004187","Kifc2",2.787365447,"Projections",14.9856911716358
"18","ENSMUSG00000071528","Usmg5",3.07829453,"Projections",14.9006492494743
"19","ENSMUSG00000067274","Rplp0",3.477922594,"Projections",14.7177970605089
"20","ENSMUSG00000038370","Pcp4l1",1.444023044,"Projections",14.5060806432619
"21","ENSMUSG00000032330","Cox7a2",3.096582855,"Projections",14.1407778486817
"22","ENSMUSG00000028648","Ndufs5",2.311233907,"Projections",14.0793390944808
"23","ENSMUSG00000072772","Grcc10",2.050726291,"Projections",13.8622608316134
"24","ENSMUSG00000031848","Lsm4",1.73178408,"Projections",13.8611377182471
"25","ENSMUSG00000054428","Atpif1",2.577458726,"Projections",13.8252857758871
"26","ENSMUSG00000074884","Serf2",1.880964677,"Projections",13.7097522388918
"27","ENSMUSG00000031231","Cox7b",2.799203225,"Projections",13.5045524526534
"28","ENSMUSG00000028692","Akr1a1",1.236768292,"Projections",13.4993428239306
"29","ENSMUSG00000020894","Vamp2",1.356858415,"Projections",13.2464589509105
"30","ENSMUSG00000025290","Rps24",3.47016207,"Projections",12.8885460960888
"31","ENSMUSG00000020163","Uqcr11",3.026616432,"Projections",12.7234982774948
"32","ENSMUSG00000035203","Epn1",2.623867934,"Projections",12.5961432727153
"33","ENSMUSG00000058756","Thra",1.726671446,"Projections",12.5433634049905
"34","ENSMUSG00000061518","Cox5b",2.928701106,"Projections",12.5102564395922
"35","ENSMUSG00000004558","Ndrg2",1.116378881,"Projections",12.3851462002986
"36","ENSMUSG00000039001","Rps21",3.658055472,"Projections",12.2006867315663
"37","ENSMUSG00000018585","Atox1",2.152923117,"Projections",12.1902126001444
"38","ENSMUSG00000004032","Gstm5",2.148583812,"Projections",12.066714166864
"39","ENSMUSG00000059534","Uqcr10",2.837686796,"Projections",11.7130070943685
"40","ENSMUSG00000038690","Atp5j2",2.924453074,"Projections",11.378887457197
"41","ENSMUSG00000010376","Nedd8",0.98193798,"Projections",11.2409751239066
"42","ENSMUSG00000020932","Gfap",1.988483509,"Projections",11.1145557098756
"43","ENSMUSG00000024953","Prdx5",1.17626232,"Projections",11.0990286727556
"44","ENSMUSG00000037742","Eef1a1",2.170451283,"Projections",11.0794498209581
"45","ENSMUSG00000038900","Rpl12",3.892297471,"Projections",10.9802834851969
"46","ENSMUSG00000039195","1110008P14Rik",1.54104223,"Projections",10.9757093658934
"47","ENSMUSG00000017778","Cox7c",3.244391093,"Projections",10.9552706828308
"48","ENSMUSG00000028964","Park7",0.639194739,"Projections",10.9255831440694
"49","ENSMUSG00000044894","Uqcrq",2.806526274,"Projections",10.842688974363
"50","ENSMUSG00000073616","Cops9",2.572602727,"Projections",10.8058558671849
"51","ENSMUSG00000022452","Smdt1",2.084973385,"Projections",10.6682197241837
"52","ENSMUSG00000063882","Uqcrh",2.475293042,"Projections",10.6527800125853
"53","ENSMUSG00000053192","Mllt11",0.799543185,"Projections",10.5294491234668
"54","ENSMUSG00000040867","Begain",1.979085097,"Projections",10.5211319895074
"55","ENSMUSG00000055839","Elob",2.031310558,"Projections",10.4533451927698
"56","ENSMUSG00000030685","Kctd13",0.879419875,"Projections",10.3704481616469
"57","ENSMUSG00000022982","Sod1",1.79414036,"Projections",10.197479668827
"58","ENSMUSG00000023904","Hcfc1r1",1.616685876,"Projections",10.1814457001004
"59","ENSMUSG00000028843","Sh3bgrl3",0.786724523,"Projections",10.1450862206024
"60","ENSMUSG00000000088","Cox5a",1.71763042,"Projections",10.1302973137255
"61","ENSMUSG00000031207","Msn",0.640220397,"Projections",10.1156438848178
"62","ENSMUSG00000067288","Rps28",3.695873357,"Projections",9.86134104782347
"63","ENSMUSG00000028194","Ddah1",0.684858302,"Projections",9.86058310019076
"64","ENSMUSG00000025967","Eef1b2",2.989956586,"Projections",9.85791742614296
"65","ENSMUSG00000073702","Rpl31",3.517927568,"Projections",9.83792873665733
"66","ENSMUSG00000003072","Atp5d",1.384756076,"Projections",9.65662299321531
"67","ENSMUSG00000022323","Rida",1.947880621,"Projections",9.64906232792081
"68","ENSMUSG00000009927","Rps25",2.761010758,"Projections",9.62888065282522
"69","ENSMUSG00000025508","Rplp2",2.984466594,"Projections",9.62342543412637
"70","ENSMUSG00000033615","Cplx1",1.062322687,"Projections",9.5458946996058
"71","ENSMUSG00000018411","Mapt",0.67456465,"Projections",9.51885073590844
"72","ENSMUSG00000034566","Atp5h",1.708219483,"Projections",9.4514420103437
"73","ENSMUSG00000062054","Iah1",1.109573817,"Projections",9.43723769682033
"74","ENSMUSG00000037126","Psd",2.893024435,"Projections",9.32525503824949
"75","ENSMUSG00000083992","Gm11478",3.492217525,"Projections",9.3186302842664
"76","ENSMUSG00000022956","Atp5o",1.878117831,"Projections",9.3164317164244
"77","ENSMUSG00000008036","Ap2s1",0.984472514,"Projections",9.29443372734235
"78","ENSMUSG00000031837","Necab2",1.210462661,"Projections",9.24468231261618
"79","ENSMUSG00000028234","Rps20",3.730333853,"Projections",9.24398619860835
"80","ENSMUSG00000069806","Cacng7",1.764445157,"Projections",9.20262752613892
"81","ENSMUSG00000061983","Rps12",3.813901707,"Projections",9.17383333297688
"82","ENSMUSG00000039824","Myl6b",2.378022491,"Projections",9.1437126467266
"83","ENSMUSG00000001289","Pfdn5",2.267317537,"Projections",9.11197096265115
"84","ENSMUSG00000022594","Lynx1",0.857181721,"Projections",9.10092780941537
"85","ENSMUSG00000041881","Ndufa7",2.43692326,"Projections",9.08710725472192
"86","ENSMUSG00000079435","Rpl36a",3.414610035,"Projections",9.07187325342898
"87","ENSMUSG00000063457","Rps15",3.246660825,"Projections",8.9459809507411
"88","ENSMUSG00000047459","Dynlrb1",0.950264495,"Projections",8.9293741237136
"89","ENSMUSG00000060803","Gstp1",0.957930867,"Projections",8.92921991659322
"90","ENSMUSG00000070493","Chchd2",0.818889878,"Projections",8.9085657001262
"91","ENSMUSG00000037499","Nenf",1.173488849,"Projections",8.84021261717445
"92","ENSMUSG00000018326","Ywhab",0.650430212,"Projections",8.79899593599674
"93","ENSMUSG00000025867","Cplx2",1.928511803,"Projections",8.78690728280349
"94","ENSMUSG00000038274","Fau",2.76444529,"Projections",8.7868136038309
"95","ENSMUSG00000074649","BC029722",1.753968755,"Projections",8.69623834855744
"96","ENSMUSG00000063694","Cycs",1.400459453,"Projections",8.68785695616754
"97","ENSMUSG00000014294","Ndufa2",2.541019007,"Projections",8.67649971897241
"98","ENSMUSG00000023089","Ndufa5",2.409175148,"Projections",8.66838048972394
"99","ENSMUSG00000018102","Hist1h2bc",0.742046798,"Projections",8.65658835215953
"100","ENSMUSG00000029364","Wsb2",2.449525374,"Projections",8.64811467652082
"101","ENSMUSG00000028447","Dctn3",1.463424831,"Projections",8.64379543357147
"102","ENSMUSG00000033938","Ndufb7",1.984331301,"Projections",8.64064427737107
"103","ENSMUSG00000076437","Selenoh",1.936187754,"Projections",8.59580178084529
"104","ENSMUSG00000067194","Eif1ax",1.41134281,"Projections",8.5767664406004
"105","ENSMUSG00000050708","Ftl1",3.821002475,"Projections",8.57337195705135
"106","ENSMUSG00000049760","2410015M20Rik",1.883346144,"Projections",8.51104395659824
"107","ENSMUSG00000034994","Eef2",2.00854581,"Projections",8.50307682743476
"108","ENSMUSG00000048758","Rpl29",3.004277625,"Projections",8.46927510997759
"109","ENSMUSG00000035781","R3hdm4",2.52912227,"Projections",8.45152841650645
"110","ENSMUSG00000000296","Tpd52l1",1.171826618,"Projections",8.44445200355145
"111","ENSMUSG00000042105","Inpp5f",0.956698566,"Projections",8.38321595940462
"112","ENSMUSG00000001175","Calm1",1.660080642,"Projections",8.37477590537985
"113","ENSMUSG00000039016","Timm8b",2.23837278,"Projections",8.36864948566301
"114","ENSMUSG00000062997","Rpl35",3.190341715,"Projections",8.34453947513754
"115","ENSMUSG00000051853","Arf3",1.357784769,"Projections",8.31530551847709
"116","ENSMUSG00000074657","Kif5a",3.626002934,"Projections",8.29688281215812
"117","ENSMUSG00000024851","Pitpnm1",1.620680727,"Projections",8.29385764809459
"118","ENSMUSG00000045128","Rpl18a",2.97233426,"Projections",8.28982767498733
"119","ENSMUSG00000012848","Rps5",2.901237152,"Projections",8.28759651136578
"120","ENSMUSG00000049517","Rps23",3.047376373,"Projections",8.25811766163823
"121","ENSMUSG00000057841","Rpl32",3.431656143,"Projections",8.24939647636125
"122","ENSMUSG00000031950","Gabarapl2",0.883639854,"Projections",8.24427379014914
"123","ENSMUSG00000024012","Mtch1",0.890367242,"Projections",8.24412317317442
"124","ENSMUSG00000036504","Phpt1",2.571232044,"Projections",8.23764303627183
"125","ENSMUSG00000026260","Ndufa10",0.952788176,"Projections",8.23012914232265
"126","ENSMUSG00000032060","Cryab",1.59264327,"Projections",8.19630703662446
"127","ENSMUSG00000030744","Rps3",2.554562393,"Projections",8.19024598592199
"128","ENSMUSG00000028773","Fabp3",1.278077081,"Projections",8.17073500965095
"129","ENSMUSG00000032549","Rab6b",1.870648119,"Projections",8.15452703148818
"130","ENSMUSG00000006575","Rundc3a",1.91271186,"Projections",8.14296520239562
"131","ENSMUSG00000038717","Atp5l",2.533619106,"Projections",8.11644362491718
"132","ENSMUSG00000044627","Swi5",0.585243644,"Projections",8.08685563347969
"133","ENSMUSG00000021303","Gng4",1.859747845,"Projections",8.07182279593946
"134","ENSMUSG00000007207","Stx1a",0.846108834,"Projections",8.07019608904096
"135","ENSMUSG00000047215","Rpl9",3.023861134,"Projections",8.0649468209567
"136","ENSMUSG00000004933","Matk",1.388666991,"Projections",8.04899718401169
"137","ENSMUSG00000060938","Rpl26",3.313295181,"Projections",8.01173959026629
"138","ENSMUSG00000022890","Atp5j",1.86357,"Projections",7.99638342005149
"139","ENSMUSG00000028719","Cmpk1",1.090527077,"Projections",7.99364834991824
"140","ENSMUSG00000052889","Prkcb",2.047188546,"Projections",7.97446559443925
"141","ENSMUSG00000020460","Rps27a",2.786103858,"Projections",7.96695513229545
"142","ENSMUSG00000025868","Higd2a",1.138350733,"Projections",7.96279112562202
"143","ENSMUSG00000022490","Ppp1r1a",2.304377301,"Projections",7.9602921734233
"144","ENSMUSG00000022055","Nefl",1.14793623,"Projections",7.95873272539158
"145","ENSMUSG00000029608","Rph3a",2.409205752,"Projections",7.95659936042319
"146","ENSMUSG00000014602","Kif1a",4.318558116,"Projections",7.94046781893064
"147","ENSMUSG00000041841","Rpl37",3.358659407,"Projections",7.94028700735974
"148","ENSMUSG00000004849","Ap1s1",1.128392005,"Projections",7.92538719085259
"149","ENSMUSG00000029455","Aldh2",0.979790155,"Projections",7.90082138991165
"150","ENSMUSG00000073433","Arhgdig",0.967167817,"Projections",7.89914974554732
"151","ENSMUSG00000091537","Tma7",2.266780907,"Projections",7.86372723833234
"152","ENSMUSG00000067847","Romo1",2.96692945,"Projections",7.85758026151563
"153","ENSMUSG00000031760","Mt3",0.771631238,"Projections",7.83293918366043
"154","ENSMUSG00000029649","Pomp",1.002781193,"Projections",7.81994148477942
"155","ENSMUSG00000034345","Gtf2h5",1.521200673,"Projections",7.81260447192602
"156","ENSMUSG00000047181","Samd14",2.431204203,"Projections",7.80327901024574
"157","ENSMUSG00000063856","Gpx1",2.251743441,"Projections",7.80063567450352
"158","ENSMUSG00000025794","Rpl14",2.545074077,"Projections",7.7833410266306
"159","ENSMUSG00000021606","Ndufs6",2.545805848,"Projections",7.77121105874665
"160","ENSMUSG00000024213","Nudt3",1.420274726,"Projections",7.76515842110534
"161","ENSMUSG00000022312","Eif3h",2.036062415,"Projections",7.7635164514601
"162","ENSMUSG00000025204","Ndufb8",2.401506829,"Projections",7.75002625674697
"163","ENSMUSG00000061477","Rps7",3.058603348,"Projections",7.72235186032957
"164","ENSMUSG00000002580","Mien1",1.9439622,"Projections",7.72111476205425
"165","ENSMUSG00000058546","Rpl23a",3.510346163,"Projections",7.70033843189736
"166","ENSMUSG00000049422","Chchd10",1.537436458,"Projections",7.60072893222649
"167","ENSMUSG00000097451","Rian",1.861471807,"Projections",7.587077501232
"168","ENSMUSG00000113902","Ndufb1-ps",2.901094991,"Projections",7.58668503657891
"169","ENSMUSG00000027223","Mapk8ip1",2.220338087,"Projections",7.56964500666505
"170","ENSMUSG00000041120","Nbl1",0.870625013,"Projections",7.56757841166059
"171","ENSMUSG00000035048","Anapc13",2.641855022,"Projections",7.55990874747426
"172","ENSMUSG00000040952","Rps19",3.194480058,"Projections",7.55163262419197
"173","ENSMUSG00000060038","Dhps",1.07195481,"Projections",7.52536802840881
"174","ENSMUSG00000004285","Atp6v1f",0.983806144,"Projections",7.49168433057356
"175","ENSMUSG00000071014","Ndufb6",2.368245536,"Projections",7.48201362254601
"176","ENSMUSG00000022354","Ndufb9",3.287871465,"Projections",7.46971367524874
"177","ENSMUSG00000030835","Nomo1",1.141646531,"Projections",7.46043666929012
"178","ENSMUSG00000002006","Pdzd4",1.911037851,"Projections",7.45441392419063
"179","ENSMUSG00000007721","Ccdc124",1.335879696,"Projections",7.45151668010959
"180","ENSMUSG00000025144","Cenpx",2.361373616,"Projections",7.42801262333534
"181","ENSMUSG00000018770","Atp5g3",0.905171968,"Projections",7.42629315259461
"182","ENSMUSG00000031347","Cetn2",0.77468846,"Projections",7.42280400660876
"183","ENSMUSG00000057880","Abat",0.695331056,"Projections",7.39710326151822
"184","ENSMUSG00000018042","Cyb5r3",1.217035205,"Projections",7.38988137139909
"185","ENSMUSG00000098234","Snhg6",3.60243723,"Projections",7.37666756529734
"186","ENSMUSG00000041453","Rpl21",3.055299679,"Projections",7.35006738056136
"187","ENSMUSG00000003199","Mpnd",1.575415187,"Projections",7.33140515748955
"188","ENSMUSG00000090733","Rps27",3.418427825,"Projections",7.31144410170065
"189","ENSMUSG00000025362","Rps26",3.215578783,"Projections",7.30945563385745
"190","ENSMUSG00000028367","Txn1",1.401205908,"Projections",7.28925591679816
"191","ENSMUSG00000030678","Maz",2.583157254,"Projections",7.27283843671265
"192","ENSMUSG00000028998","Tomm7",2.897707351,"Projections",7.2625664600171
"193","ENSMUSG00000037601","Nme1",1.064088595,"Projections",7.25466598285322
"194","ENSMUSG00000063065","Mapk3",0.636373921,"Projections",7.22559667672838
"195","ENSMUSG00000020949","Fkbp3",0.653535586,"Projections",7.22122969448445
"196","ENSMUSG00000075020","Mir670hg",2.083934124,"Projections",7.18362579345369
"197","ENSMUSG00000048978","Nrsn1",2.541325106,"Projections",7.1593255222824
"198","ENSMUSG00000062328","Rpl17",2.965103956,"Projections",7.13781104830557
"199","ENSMUSG00000062963","Ufc1",1.195668003,"Projections",7.12373035554523
"200","ENSMUSG00000020684","Rasl10b",4.234859923,"Projections",7.12074316191421
"201","ENSMUSG00000036402","Gng12",0.707036605,"Projections",7.12069285004963
